peak_radius,damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged,final_joint1,final_joint2,final_joint3,final_joint4,final_joint5,final_joint6,final_joint7
0.69,0.01,2.0,0.00911117,0.0146485,0.00658015,0.0448041,0,35.7173,0.90541,0,1.35636e-06,0.00836823,-1.40577e-06,-1.57446,-0.000334979,1.56878,-0.785302
0.69,0.01,5.0,0.00999423,0.0143049,0.00658528,0.0425069,0,31.5068,0.842613,0,1.31603e-06,0.00830781,-1.40571e-06,-1.57455,-0.000334866,1.56882,-0.785302
0.7,0.0001,0.0,0.0145123,0.0253982,0.00656626,2.17913,12,32681.1,1.39985,0,2.56981e-05,0.00858582,-2.55878e-05,-1.57414,-0.000335022,1.56868,-0.785301
0.7,0.0001,2.0,0.175896,0.685391,0.4302,3.07099,1147,9252.35,2.67252,0,-7.27663e-05,1.74704,0.0070748,-0.0678003,0.00861019,0.219366,-0.778591
0.7,0.0001,5.0,0.0120726,0.0219523,0.00656625,6.9986,8,57303.3,1.39933,0,1.48542e-06,0.0085858,-1.33963e-06,-1.57414,-0.000335073,1.56868,-0.785301
0.7,0.0003,0.0,0.0136394,0.0240852,0.00656624,1.07056,10,12978.8,1.39866,0,-0.000135246,0.0085858,0.000135589,-1.57414,-0.000335352,1.56868,-0.785301
0.7,0.0003,2.0,0.01065,0.0192863,0.00656626,2.40957,2,98861.5,1.388,0,1.50173e-06,0.00858579,-1.35574e-06,-1.57414,-0.000335073,1.56868,-0.785301
0.7,0.0003,5.0,0.00911313,0.0155672,0.00656626,0.823559,0,4538.99,1.36791,0,1.48537e-06,0.00858572,-1.33964e-06,-1.57414,-0.000335073,1.56868,-0.785301
0.7,0.0005,0.0,0.175802,0.685532,0.430141,3.07099,1145,128652.0,2.67327,0,0.000717603,1.74742,0.00591498,-0.0677282,0.00189547,0.218077,-0.786352
0.7,0.0005,2.0,0.00891162,0.0151615,0.00656626,0.192015,0,2798.53,1.36389,0,1.5017e-06,0.00858573,-1.35575e-06,-1.57414,-0.000335073,1.56868,-0.785301
0.7,0.0005,5.0,0.00886229,0.0149956,0.00656628,0.0954956,0,917.566,1.35084,0,1.48529e-06,0.00858556,-1.33966e-06,-1.57414,-0.000335072,1.56868,-0.785301
0.7,0.001,0.0,0.175722,0.685256,0.430174,3.06781,1140,693352.0,2.67284,0,0.00083001,1.74725,0.00637159,-0.0677231,0.00366092,0.218708,-0.783836
0.7,0.001,2.0,0.00886846,0.0150069,0.00656629,0.0741779,0,566.915,1.34005,0,1.50156e-06,0.00858549,-1.35578e-06,-1.57414,-0.000335073,1.56868,-0.785301
0.7,0.001,5.0,0.00888255,0.0149976,0.00656635,0.06361,0,260.239,1.30593,0,1.48491e-06,0.00858478,-1.33975e-06,-1.57414,-0.000335071,1.56868,-0.785301
0.7,0.003,0.0,0.175377,0.684549,0.43014,3.06198,1140,1572330.0,2.67335,0,0.000343653,1.74747,0.00598654,-0.0677407,0.00182385,0.217919,-0.78662
0.7,0.003,2.0,0.00894196,0.0149618,0.00656655,0.0600602,0,129.552,1.2422,0,1.50011e-06,0.00858292,-1.35611e-06,-1.57414,-0.000335069,1.56868,-0.785301
0.7,0.003,5.0,0.00905463,0.0148983,0.00656712,0.057804,0,89.5941,1.18548,0,1.48079e-06,0.00857656,-1.34074e-06,-1.57415,-0.000335058,1.56868,-0.785301
0.7,0.005,0.0,0.17483,0.682986,0.430132,3.05115,1140,1572210.0,2.67344,0,0.000153336,1.7475,0.00586627,-0.0677458,0.00146455,0.217793,-0.786987
0.7,0.005,2.0,0.00907863,0.0148876,0.00656707,0.0574627,0,86.0636,1.17792,0,1.49722e-06,0.00857781,-1.35677e-06,-1.57415,-0.000335062,1.56868,-0.785301
0.7,0.005,5.0,0.00938447,0.0147429,0.00656864,0.054608,0,62.4781,1.10542,0,1.47259e-06,0.00856029,-1.34273e-06,-1.57418,-0.000335033,1.56869,-0.785301
0.7,0.01,0.0,0.00888457,0.0150183,0.00656517,0.0773766,0,580.4,1.34063,0,-0.000545354,0.00860099,0.000546301,-1.57411,-0.000336236,1.56867,-0.785301
0.7,0.01,2.0,0.00970222,0.0146184,0.00656947,0.0527318,0,53.5192,1.061,0,1.48378e-06,0.00855416,-1.3599e-06,-1.57419,-0.00033503,1.5687,-0.785301
0.7,0.01,5.0,0.0108986,0.0142111,0.00657536,0.0485045,0,40.2926,0.958939,0,1.43489e-06,0.00848706,-1.35249e-06,-1.57429,-0.000334915,1.56874,-0.785302
