damping,step,time,joint_name,limit_side,overshoot_rad
0.0005,2163,4.326,joint4,upper,0.626349
0.0005,2164,4.328,joint4,upper,0.629824
0.0005,2165,4.33,joint4,upper,0.633307
0.0005,2166,4.332,joint4,upper,0.636799
0.0005,2167,4.334,joint4,upper,0.640298
0.0005,2168,4.336,joint4,upper,0.643805
0.0005,2169,4.338,joint4,upper,0.647319
0.0005,2170,4.34,joint4,upper,0.650841
0.0005,2171,4.342,joint4,upper,0.65437
0.0005,2172,4.344,joint4,upper,0.657906
0.0005,2173,4.346,joint4,upper,0.661449
0.0005,2174,4.348,joint4,upper,0.664999
0.0005,2175,4.35,joint4,upper,0.668555
0.0005,2176,4.352,joint4,upper,0.672118
0.0005,2177,4.354,joint4,upper,0.675687
0.0005,2178,4.356,joint4,upper,0.679261
0.0005,2179,4.358,joint4,upper,0.682842
0.0005,2180,4.36,joint4,upper,0.686428
0.0005,2181,4.362,joint4,upper,0.690019
0.0005,2182,4.364,joint4,upper,0.693615
0.0005,2183,4.366,joint4,upper,0.697216
0.0005,2184,4.368,joint4,upper,0.700822
0.0005,2185,4.37,joint4,upper,0.704433
0.0005,2186,4.372,joint4,upper,0.708047
0.0005,2187,4.374,joint4,upper,0.711666
0.0005,2188,4.376,joint4,upper,0.715288
0.0005,2189,4.378,joint4,upper,0.718913
0.0005,2190,4.38,joint4,upper,0.722542
0.0005,2191,4.382,joint4,upper,0.726174
0.0005,2192,4.384,joint4,upper,0.729809
0.0005,2193,4.386,joint4,upper,0.733446
0.0005,2194,4.388,joint4,upper,0.737085
0.0005,2195,4.39,joint4,upper,0.740726
0.0005,2196,4.392,joint4,upper,0.744368
0.0005,2197,4.394,joint4,upper,0.748012
0.0005,2198,4.396,joint4,upper,0.751657
0.0005,2199,4.398,joint4,upper,0.755302
0.0005,2200,4.4,joint4,upper,0.758948
0.0005,2201,4.402,joint4,upper,0.762594
0.0005,2202,4.404,joint4,upper,0.766239
0.0005,2203,4.406,joint4,upper,0.769885
0.0005,2204,4.408,joint4,upper,0.773529
0.0005,2205,4.41,joint4,upper,0.777172
0.0005,2206,4.412,joint4,upper,0.780813
0.0005,2207,4.414,joint4,upper,0.784453
0.0005,2208,4.416,joint4,upper,0.78809
0.0005,2209,4.418,joint4,upper,0.791725
0.0005,2210,4.42,joint4,upper,0.795357
0.0005,2211,4.422,joint4,upper,0.798985
0.0005,2212,4.424,joint4,upper,0.80261
0.0005,2213,4.426,joint4,upper,0.806231
0.0005,2214,4.428,joint4,upper,0.809848
0.0005,2215,4.43,joint4,upper,0.813459
0.0005,2216,4.432,joint4,upper,0.817066
0.0005,2217,4.434,joint4,upper,0.820667
0.0005,2218,4.436,joint4,upper,0.824262
0.0005,2219,4.438,joint4,upper,0.827851
0.0005,2220,4.44,joint4,upper,0.831433
0.0005,2221,4.442,joint4,upper,0.835008
0.0005,2222,4.444,joint4,upper,0.838575
0.0005,2223,4.446,joint4,upper,0.842135
0.0005,2224,4.448,joint4,upper,0.845686
0.0005,2225,4.45,joint4,upper,0.849229
0.0005,2226,4.452,joint4,upper,0.852762
0.0005,2227,4.454,joint4,upper,0.856286
0.0005,2228,4.456,joint4,upper,0.8598
0.0005,2229,4.458,joint4,upper,0.863303
0.0005,2230,4.46,joint4,upper,0.866796
0.0005,2231,4.462,joint4,upper,0.870277
0.0005,2232,4.464,joint4,upper,0.873747
0.0005,2233,4.466,joint4,upper,0.877204
0.0005,2234,4.468,joint4,upper,0.880649
0.0005,2235,4.47,joint4,upper,0.884081
0.0005,2236,4.472,joint4,upper,0.887499
0.0005,2237,4.474,joint4,upper,0.890904
0.0005,2238,4.476,joint4,upper,0.894294
0.0005,2239,4.478,joint4,upper,0.897669
0.0005,2240,4.48,joint4,upper,0.90103
0.0005,2241,4.482,joint4,upper,0.904374
0.0005,2242,4.484,joint4,upper,0.907703
0.0005,2243,4.486,joint4,upper,0.911015
0.0005,2244,4.488,joint4,upper,0.91431
0.0005,2245,4.49,joint4,upper,0.917588
0.0005,2246,4.492,joint4,upper,0.920848
0.0005,2247,4.494,joint4,upper,0.92409
0.0005,2248,4.496,joint4,upper,0.927313
0.0005,2249,4.498,joint4,upper,0.930516
0.0005,2250,4.5,joint4,upper,0.933701
0.0005,2251,4.502,joint4,upper,0.936865
0.0005,2252,4.504,joint4,upper,0.940009
0.0005,2253,4.506,joint4,upper,0.943132
0.0005,2254,4.508,joint4,upper,0.946234
0.0005,2255,4.51,joint4,upper,0.949314
0.0005,2256,4.512,joint4,upper,0.952372
0.0005,2257,4.514,joint4,upper,0.955408
0.0005,2258,4.516,joint4,upper,0.95842
0.0005,2259,4.518,joint4,upper,0.96141
0.0005,2260,4.52,joint4,upper,0.964375
0.0005,2261,4.522,joint4,upper,0.967317
0.0005,2262,4.524,joint4,upper,0.970234
0.0005,2263,4.526,joint4,upper,0.973127
0.0005,2264,4.528,joint4,upper,0.975994
0.0005,2265,4.53,joint4,upper,0.978836
0.0005,2266,4.532,joint4,upper,0.981652
0.0005,2267,4.534,joint4,upper,0.984441
0.0005,2268,4.536,joint4,upper,0.987204
0.0005,2269,4.538,joint4,upper,0.98994
0.0005,2270,4.54,joint4,upper,0.992649
0.0005,2271,4.542,joint4,upper,0.99533
0.0005,2272,4.544,joint4,upper,0.997983
0.0005,2273,4.546,joint4,upper,1.00061
0.0005,2274,4.548,joint4,upper,1.00321
0.0005,2275,4.55,joint4,upper,1.00577
0.0005,2276,4.552,joint4,upper,1.00831
0.0005,2277,4.554,joint4,upper,1.01082
0.0005,2278,4.556,joint4,upper,1.0133
0.0005,2279,4.558,joint4,upper,1.01575
0.0005,2280,4.56,joint4,upper,1.01817
0.0005,2281,4.562,joint4,upper,1.02056
0.0005,2282,4.564,joint4,upper,1.02292
0.0005,2283,4.566,joint4,upper,1.02525
0.0005,2284,4.568,joint4,upper,1.02755
0.0005,2285,4.57,joint4,upper,1.02982
0.0005,2286,4.572,joint4,upper,1.03205
0.0005,2287,4.574,joint4,upper,1.03426
0.0005,2288,4.576,joint4,upper,1.03643
0.0005,2289,4.578,joint4,upper,1.03857
0.0005,2290,4.58,joint4,upper,1.04069
0.0005,2291,4.582,joint4,upper,1.04276
0.0005,2292,4.584,joint4,upper,1.04481
0.0005,2293,4.586,joint4,upper,1.04683
0.0005,2294,4.588,joint4,upper,1.04881
0.0005,2295,4.59,joint4,upper,1.05076
0.0005,2296,4.592,joint4,upper,1.05268
0.0005,2297,4.594,joint4,upper,1.05457
0.0005,2298,4.596,joint4,upper,1.05642
0.0005,2299,4.598,joint4,upper,1.05825
0.0005,2300,4.6,joint4,upper,1.06004
0.0005,2301,4.602,joint4,upper,1.0618
0.0005,2302,4.604,joint4,upper,1.06352
0.0005,2303,4.606,joint4,upper,1.06522
0.0005,2304,4.608,joint4,upper,1.06688
0.0005,2305,4.61,joint4,upper,1.06852
0.0005,2306,4.612,joint4,upper,1.07012
0.0005,2307,4.614,joint4,upper,1.07169
0.0005,2308,4.616,joint4,upper,1.07322
0.0005,2309,4.618,joint4,upper,1.07473
0.0005,2310,4.62,joint4,upper,1.07621
0.0005,2311,4.622,joint4,upper,1.07765
0.0005,2312,4.624,joint4,upper,1.07907
0.0005,2313,4.626,joint4,upper,1.08045
0.0005,2314,4.628,joint4,upper,1.08181
0.0005,2315,4.63,joint4,upper,1.08313
0.0005,2316,4.632,joint4,upper,1.08443
0.0005,2317,4.634,joint4,upper,1.08569
0.0005,2318,4.636,joint4,upper,1.08693
0.0005,2319,4.638,joint4,upper,1.08814
0.0005,2320,4.64,joint4,upper,1.08932
0.0005,2321,4.642,joint4,upper,1.09047
0.0005,2322,4.644,joint4,upper,1.09159
0.0005,2323,4.646,joint4,upper,1.09269
0.0005,2324,4.648,joint4,upper,1.09376
0.0005,2325,4.65,joint4,upper,1.0948
0.0005,2326,4.652,joint4,upper,1.09581
0.0005,2327,4.654,joint4,upper,1.0968
0.0005,2328,4.656,joint4,upper,1.09776
0.0005,2329,4.658,joint4,upper,1.0987
0.0005,2330,4.66,joint4,upper,1.09962
0.0005,2331,4.662,joint4,upper,1.1005
0.0005,2332,4.664,joint4,upper,1.10137
0.0005,2333,4.666,joint4,upper,1.10221
0.0005,2334,4.668,joint4,upper,1.10303
0.0005,2335,4.67,joint4,upper,1.10382
0.0005,2336,4.672,joint4,upper,1.1046
0.0005,2337,4.674,joint4,upper,1.10535
0.0005,2338,4.676,joint4,upper,1.10608
0.0005,2339,4.678,joint4,upper,1.10679
0.0005,2340,4.68,joint4,upper,1.10747
0.0005,2341,4.682,joint4,upper,1.10814
0.0005,2342,4.684,joint4,upper,1.10879
0.0005,2343,4.686,joint4,upper,1.10942
0.0005,2344,4.688,joint4,upper,1.11003
0.0005,2345,4.69,joint4,upper,1.11063
0.0005,2346,4.692,joint4,upper,1.1112
0.0005,2347,4.694,joint4,upper,1.11176
0.0005,2348,4.696,joint4,upper,1.11231
0.0005,2349,4.698,joint4,upper,1.11283
0.0005,2350,4.7,joint4,upper,1.11335
0.0005,2351,4.702,joint4,upper,1.11384
0.0005,2352,4.704,joint4,upper,1.11433
0.0005,2353,4.706,joint4,upper,1.1148
0.0005,2354,4.708,joint4,upper,1.11525
0.0005,2355,4.71,joint4,upper,1.1157
0.0005,2356,4.712,joint4,upper,1.11613
0.0005,2357,4.714,joint4,upper,1.11655
0.0005,2358,4.716,joint4,upper,1.11695
0.0005,2359,4.718,joint4,upper,1.11735
0.0005,2360,4.72,joint4,upper,1.11774
0.0005,2361,4.722,joint4,upper,1.11812
0.0005,2362,4.724,joint4,upper,1.11849
0.0005,2363,4.726,joint4,upper,1.11885
0.0005,2364,4.728,joint4,upper,1.1192
0.0005,2365,4.73,joint4,upper,1.11954
0.0005,2366,4.732,joint4,upper,1.11988
0.0005,2367,4.734,joint4,upper,1.12021
0.0005,2368,4.736,joint4,upper,1.12054
0.0005,2369,4.738,joint4,upper,1.12085
0.0005,2370,4.74,joint4,upper,1.12117
0.0005,2371,4.742,joint4,upper,1.12148
0.0005,2372,4.744,joint4,upper,1.12178
0.0005,2373,4.746,joint4,upper,1.12209
0.0005,2374,4.748,joint4,upper,1.12239
0.0005,2375,4.75,joint4,upper,1.12268
0.0005,2376,4.752,joint4,upper,1.12298
0.0005,2377,4.754,joint4,upper,1.12327
0.0005,2378,4.756,joint4,upper,1.12356
0.0005,2379,4.758,joint4,upper,1.12385
0.0005,2380,4.76,joint4,upper,1.12414
