damping,nullspace_gain,step,time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,position_error,condition_number,distance_from_home,any_clipped
0.0003,0.0,96,0.192,-7.83834e-07,0.00724494,-4.59086e-07,-1.57394,-0.00028912,1.56905,-0.785301,0.00604666,12.6203,0.00809557,0
0.0003,0.0,97,0.194,-7.84753e-07,0.00730828,-4.56153e-07,-1.57389,-0.000290095,1.56902,-0.785301,0.00607038,12.6208,0.00813963,0
0.0003,0.0,98,0.196,-7.85309e-07,0.00737194,-4.52531e-07,-1.57384,-0.000291048,1.569,-0.785301,0.0060937,12.6213,0.00818408,0
0.0003,0.0,99,0.198,-7.85527e-07,0.00743591,-4.48252e-07,-1.5738,-0.000291982,1.56897,-0.785301,0.00611663,12.6218,0.00822895,0
0.0003,0.0,100,0.2,-7.85432e-07,0.00750021,-4.43343e-07,-1.57374,-0.000292895,1.56895,-0.785301,0.00613919,12.6224,0.00827428,0
0.0003,0.0,101,0.202,-7.85049e-07,0.00756485,-4.37834e-07,-1.57369,-0.000293789,1.56892,-0.785301,0.00616137,12.6229,0.00832012,0
0.0003,0.0,102,0.204,-7.84401e-07,0.00762984,-4.31752e-07,-1.57364,-0.000294664,1.5689,-0.785301,0.00618319,12.6235,0.0083665,0
0.0003,0.0,103,0.206,-7.83511e-07,0.00769519,-4.25124e-07,-1.57358,-0.000295521,1.56887,-0.785301,0.00620465,12.6241,0.00841348,0
0.0003,0.0,104,0.208,-7.824e-07,0.00776092,-4.17975e-07,-1.57353,-0.000296359,1.56884,-0.785301,0.00622577,12.6247,0.00846109,0
0.0003,0.0,105,0.21,-7.8109e-07,0.00782702,-4.1033e-07,-1.57347,-0.00029718,1.56882,-0.785301,0.00624655,12.6253,0.00850937,0
0.0003,0.0,106,0.212,-7.796e-07,0.00789353,-4.02214e-07,-1.57341,-0.000297983,1.56879,-0.785301,0.006267,12.6259,0.00855836,0
0.0003,0.0,107,0.214,-7.77951e-07,0.00796043,-3.93648e-07,-1.57335,-0.000298769,1.56876,-0.785301,0.00628712,12.6266,0.0086081,0
0.0003,0.0,108,0.216,-7.76161e-07,0.00802775,-3.84657e-07,-1.57328,-0.000299538,1.56874,-0.785301,0.00630693,12.6272,0.00865863,0
0.0003,0.0,109,0.218,-7.74248e-07,0.00809548,-3.75261e-07,-1.57322,-0.000300291,1.56871,-0.785301,0.00632644,12.6279,0.00870999,0
0.0003,0.0,110,0.22,-7.72231e-07,0.00816365,-3.65483e-07,-1.57315,-0.000301028,1.56868,-0.785301,0.00634564,12.6286,0.00876223,0
0.0003,0.0,111,0.222,-7.70126e-07,0.00823226,-3.55341e-07,-1.57309,-0.00030175,1.56865,-0.785301,0.00636454,12.6293,0.00881537,0
0.0003,0.0,112,0.224,-7.6795e-07,0.00830132,-3.44856e-07,-1.57302,-0.000302456,1.56862,-0.785301,0.00638316,12.63,0.00886946,0
0.0003,0.0,113,0.226,-7.65718e-07,0.00837084,-3.34046e-07,-1.57295,-0.000303147,1.56859,-0.785301,0.0064015,12.6308,0.00892453,0
0.0003,0.0,114,0.228,-7.63446e-07,0.00844082,-3.22931e-07,-1.57288,-0.000303823,1.56856,-0.785301,0.00641957,12.6315,0.00898063,0
0.0003,0.0,115,0.23,-7.61149e-07,0.00851128,-3.11527e-07,-1.57281,-0.000304485,1.56854,-0.785301,0.00643737,12.6323,0.00903778,0
0.0003,0.0,116,0.232,-7.5884e-07,0.00858222,-2.99852e-07,-1.57273,-0.000305133,1.56851,-0.785301,0.00645491,12.633,0.00909603,0
0.0003,0.0,117,0.234,-7.56533e-07,0.00865365,-2.87922e-07,-1.57266,-0.000305767,1.56848,-0.785301,0.00647219,12.6338,0.0091554,0
0.0003,0.0,118,0.236,-7.54243e-07,0.00872557,-2.75754e-07,-1.57258,-0.000306388,1.56845,-0.785301,0.00648922,12.6347,0.00921594,0
0.0003,0.0,119,0.238,-7.5198e-07,0.00879801,-2.63363e-07,-1.5725,-0.000306995,1.56841,-0.785301,0.00650601,12.6355,0.00927768,0
0.0003,0.0,120,0.24,-7.49759e-07,0.00887095,-2.50762e-07,-1.57242,-0.00030759,1.56838,-0.785301,0.00652257,12.6363,0.00934065,0
0.0003,0.0,121,0.242,-7.47589e-07,0.00894442,-2.37968e-07,-1.57234,-0.000308172,1.56835,-0.785301,0.00653889,12.6372,0.00940488,0
0.0003,0.0,122,0.244,-7.45483e-07,0.00901841,-2.24994e-07,-1.57226,-0.000308742,1.56832,-0.785301,0.00655498,12.638,0.00947041,0
0.0003,0.0,123,0.246,-7.43452e-07,0.00909293,-2.11852e-07,-1.57218,-0.000309299,1.56829,-0.785301,0.00657085,12.6389,0.00953727,0
0.0003,0.0,124,0.248,-7.41506e-07,0.009168,-1.98556e-07,-1.57209,-0.000309845,1.56826,-0.785301,0.00658651,12.6398,0.00960549,0
0.0003,0.0,125,0.25,-7.39655e-07,0.00924361,-1.85119e-07,-1.57201,-0.000310379,1.56822,-0.785301,0.00660196,12.6407,0.00967509,0
0.0003,0.0,126,0.252,-7.37909e-07,0.00931978,-1.71551e-07,-1.57192,-0.000310902,1.56819,-0.785301,0.0066172,12.6417,0.00974611,0
0.0003,0.0,127,0.254,-7.36278e-07,0.00939651,-1.57865e-07,-1.57183,-0.000311414,1.56816,-0.785301,0.00663224,12.6426,0.00981858,0
0.0003,0.0,128,0.256,-7.3477e-07,0.0094738,-1.44072e-07,-1.57174,-0.000311915,1.56812,-0.785301,0.00664708,12.6436,0.00989252,0
0.0003,0.0,129,0.258,-7.33393e-07,0.00955167,-1.30183e-07,-1.57165,-0.000312405,1.56809,-0.785301,0.00666173,12.6445,0.00996795,0
0.0003,0.0,130,0.26,-7.32157e-07,0.00963011,-1.16206e-07,-1.57156,-0.000312885,1.56806,-0.785301,0.0066762,12.6455,0.0100449,0
0.0003,0.0,131,0.262,-7.31069e-07,0.00970913,-1.02154e-07,-1.57146,-0.000313354,1.56802,-0.785301,0.00669048,12.6465,0.0101234,0
0.0003,0.0,132,0.264,-7.30137e-07,0.00978875,-8.80337e-08,-1.57137,-0.000313814,1.56799,-0.785301,0.00670458,12.6475,0.0102035,0
0.0003,0.0,133,0.266,-7.29368e-07,0.00986896,-7.38559e-08,-1.57127,-0.000314264,1.56795,-0.785301,0.00671852,12.6486,0.0102852,0
0.0003,0.0,134,0.268,-7.2877e-07,0.00994977,-5.9629e-08,-1.57117,-0.000314704,1.56792,-0.785301,0.00673228,12.6496,0.0103685,0
0.0003,0.0,135,0.27,-7.28348e-07,0.0100312,-4.53614e-08,-1.57107,-0.000315135,1.56788,-0.785302,0.00674587,12.6507,0.0104534,0
0.0003,0.0,136,0.272,-7.2811e-07,0.0101132,-3.10611e-08,-1.57097,-0.000315557,1.56784,-0.785302,0.0067593,12.6517,0.0105401,0
0.0003,0.0,137,0.274,-7.28061e-07,0.0101958,-1.6736e-08,-1.57087,-0.00031597,1.56781,-0.785302,0.00677258,12.6528,0.0106283,0
0.0003,0.0,138,0.276,-7.28208e-07,0.0102791,-2.39344e-09,-1.57077,-0.000316374,1.56777,-0.785302,0.0067857,12.6539,0.0107183,0
0.0003,0.0,139,0.278,-7.28557e-07,0.010363,1.19593e-08,-1.57066,-0.00031677,1.56773,-0.785302,0.00679867,12.655,0.01081,0
0.0003,0.0,140,0.28,-7.29112e-07,0.0104475,2.63154e-08,-1.57056,-0.000317157,1.56769,-0.785302,0.0068115,12.6561,0.0109035,0
0.0003,0.0,141,0.282,-7.29879e-07,0.0105326,4.06683e-08,-1.57045,-0.000317536,1.56766,-0.785302,0.00682418,12.6573,0.0109987,0
0.0003,0.0,142,0.284,-7.30863e-07,0.0106184,5.50117e-08,-1.57034,-0.000317907,1.56762,-0.785302,0.00683672,12.6584,0.0110956,0
0.0003,0.0,143,0.286,-7.32069e-07,0.0107048,6.93395e-08,-1.57023,-0.00031827,1.56758,-0.785302,0.00684913,12.6596,0.0111944,0
0.0003,0.0,144,0.288,-7.335e-07,0.0107919,8.36459e-08,-1.57012,-0.000318626,1.56754,-0.785302,0.0068614,12.6608,0.0112949,0
0.0003,0.0,145,0.29,-7.35163e-07,0.0108796,9.79255e-08,-1.57,-0.000318974,1.5675,-0.785302,0.00687354,12.662,0.0113973,0
0.0003,0.0,146,0.292,-7.3706e-07,0.010968,1.12173e-07,-1.56989,-0.000319314,1.56746,-0.785302,0.00688556,12.6632,0.0115015,0
0.0003,0.0,147,0.294,-7.39196e-07,0.0110571,1.26383e-07,-1.56978,-0.000319648,1.56742,-0.785302,0.00689745,12.6644,0.0116075,0
0.0003,0.0,148,0.296,-7.41575e-07,0.0111468,1.40551e-07,-1.56966,-0.000319974,1.56738,-0.785302,0.00690922,12.6657,0.0117154,0
0.0003,0.0,149,0.298,-7.44199e-07,0.0112371,1.54672e-07,-1.56954,-0.000320293,1.56734,-0.785302,0.00692088,12.6669,0.0118251,0
0.0003,0.0,150,0.3,-7.47073e-07,0.0113281,1.68743e-07,-1.56942,-0.000320606,1.5673,-0.785302,0.00693242,12.6682,0.0119367,0
